emp_no,first_name,last_name,title,from_date,to_date
10004,Chirstian,Koblick,Engineer,1986-12-01,1995-12-01
10005,Kyoichi,Maliniak,Staff,1989-09-12,1996-09-12
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10011,Mary,Sluis,Staff,1990-01-22,1996-11-09
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03
10026,Yongqiao,Berztiss,Engineer,1995-03-20,2001-03-19
10035,Alain,Chappelet,Engineer,1988-09-05,1996-09-05
10047,Zvonko,Nyanchama,Engineer,1989-03-31,1998-03-31
10051,Hidefumi,Caine,Engineer,1992-10-15,1998-10-15
10057,Ebbe,Callaway,Engineer,1992-01-15,2000-01-15
10066,Kwee,Schusler,Engineer,1992-02-26,1998-02-25
10067,Claudi,Stavenow,Engineer,1987-03-04,1996-03-03
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21
10073,Shir,McClurg,Engineer,1998-02-02,1998-02-22
10088,Jungsoon,Syrzycki,Staff,1988-09-02,1993-09-02
10091,Amabile,Gomatam,Engineer,1992-11-18,2001-11-18
10097,Remzi,Waschkowski,Staff,1990-09-15,1996-09-14
10100,Hironobu,Haraldson,Staff,1987-09-21,1994-09-21
10101,Perla,Heyers,Staff,1998-10-14,2000-09-23
10106,Eben,Aingworth,Engineer,1991-10-27,1997-10-26
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10116,Dayanand,Czap,Senior Engineer,1994-02-27,1998-11-01
10126,Kayoko,Valtorta,Staff,1985-09-08,1991-09-08
10131,Magdalena,Eldridge,Engineer,1999-09-17,1999-12-06
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12
10138,Perry,Shimshoni,Engineer,1992-03-03,2001-03-03
10149,Xiadong,Perry,Staff,1994-01-28,1996-08-27
10150,Zhenbing,Perng,Engineer,1986-11-16,1995-11-16
10152,Jaques,Munro,Engineer,1986-01-27,1987-08-03
10160,Debatosh,Khasidashvili,Staff,1993-12-06,2000-12-06
10161,Hairong,Mellouli,Engineer,1991-06-09,1994-01-05
10177,Pragnesh,Iisaka,Staff,1993-02-06,1994-03-17
10186,Shigehito,Kropatsch,Staff,1996-12-25,1997-08-16
10189,Khalid,Erva,Engineer,1992-09-13,1993-06-29
10194,Josyula,Hofmeyr,Staff,1997-02-14,2002-02-14
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31
10203,Steen,Escriba,Staff,1989-04-06,1995-04-06
10207,Girolamo,Anandan,Engineer,1992-10-11,1997-10-11
